phrasalVerb,example
double as,In the corner was an old sofa that doubled as Simon’s bed.
double back,"One frequently sees them flying alongside a hedge, just keeping ahead of one, then doubling back."
double back,We doubled back through the fields to the village.
double back,"When you get to the roundabout, you need to double back on yourself."
double for,He doubled for Roger Moore in the film Octopussy.
double over,She was doubled over with pain.
double over,The map on his desk was doubled over so I couldn’t see it.
double up,"He pulled outwards on Tettlinger's arms, making him double up and his pants slip down."
double up,"He was going to keep that secret whatever... ooh, he saw Ginger's fist double up, big and brown."
double up,I'll double up the length of hawser shackled on to the anchor cable and pay out another hundred metres.
double up,The children won’t mind doubling up.
doze off,I dozed off in front of the television.
doze off,"Sometimes he'd doze off while the chimps were out of the cage, and they'd run all over and wreck the place."
draft in,Extra police officers have been drafted in to search for evidence.
draft in,The coach has drafted two new players into the squad for the match.
drag down,Don’t let yourself be dragged down to his level.
drag down,I don’t mean to drag you down with all my problems.
drag down,If you’re not careful he’ll end up dragging you down with him.
drag in,He seemed determined to drag in irrelevant details about my personal life.
drag in,"I don’t know anything about the project, so don’t try and drag me in."
drag in,Last night it was the turn of the evangelical Christians to be dragged in.
drag in,"More worrying still were signs that France, too, was being dragged in."
drag into,Friends will be dragged into the argument.
drag into,He could hear the screams of people being tortured as he was dragged into the room.
drag into,How dare you drag my mother into this.
drag into,Lesser folk were simply dragged into the street.
drag into,My friend went mad about being dragged into our rows.
drag into,Sometimes you need to take the power out of it before being dragged into the sea.
drag into,The US was afraid of being dragged into the war.
drag on,"As the conflict drags on, the plunder will only get worse."
drag on,"At the time, nobody dreamt it was going to drag on for years, he said."
drag on,But now the negotiations are expected to drag on for months and possibly into next year.
drag on,But those countries know it risks pulling them into a conflict that could drag on for years.
drag on,"Goodness, this could drag on for years."
drag on,He kept pleading not guilty so the process dragged on.
drag on,He was involved in an acrimonious split from his second wife that dragged on for years.
drag on,I think my ex-husband can afford to buy me out and we have allowed the process to drag on for too long.
drag on,I want them to clear the heights because if they fail they get another two goes and it drags on.
drag on,It dragged on over two years.
drag on,It got worse as the months dragged on.
drag on,It's going to drag on.
drag on,Some cases drag on for years.
drag on,"Such negotiations typically drag on for years, if not decades."
drag on,The case dragged on for three years before the clubs reached an agreement.
drag on,"The club say they will appeal, a process which could drag on until August."
drag on,The company had to ask its lenders to delay covenant tests twice as talks dragged on for nine months.
drag on,The economic problems of the eurozone will drag on for years.
